Date,Close,High,Low,Open,Volume,Adj Close
4/25/13,2199.306885,2224.629883,2191.8479,2213.185059,96800,2199.306885
4/26/13,2177.912109,2210.581055,2173.864014,2203.888916,76600,2177.912109
5/2/13,2174.123047,2179.646973,2161.139893,2170.782959,68400,2174.123047
5/3/13,2205.49707,2222.811035,2179.049072,2179.049072,88600,2205.49707
5/6/13,2231.166016,2236.065918,2212.495117,2212.495117,92200,2231.166016
5/7/13,2235.574951,2240.256104,2219.435059,2227.861084,86400,2235.574951
5/8/13,2246.300049,2255.208008,2235.416992,2242.393066,90400,2246.300049
5/9/13,2232.970947,2247.864014,2221.384033,2246.962891,98600,2232.970947
5/10/13,2246.831055,2247.674072,2225.812012,2228.819092,90400,2246.831055
5/13/13,2241.919922,2250.854004,2231.363037,2247.677979,86200,2241.919922
5/14/13,2217.01001,2239.926025,2205.873047,2238.904053,83200,2217.01001
5/15/13,2224.797119,2225.186035,2213.582031,2217.085938,71800,2224.797119
5/16/13,2251.804932,2252.87207,2210.77002,2221.336914,110200,2251.804932
5/17/13,2282.870117,2288.091064,2248.413086,2249.811035,126200,2282.870117
5/20/13,2299.986084,2309.39209,2281.898926,2286.327881,139200,2299.986084
5/21/13,2305.114014,2305.301025,2290.124023,2297.110107,124200,2305.114014
5/22/13,2302.403076,2314.183105,2292.430908,2303.75,128400,2302.403076
5/23/13,2275.666992,2304.952881,2274.102051,2293.809082,124000,2275.666992
5/24/13,2288.531982,2292.594971,2270.25,2281.445068,101400,2288.531982
5/27/13,2293.076904,2301.701904,2283.935059,2286.660889,107400,2293.076904
5/28/13,2321.318115,2322.099121,2281.468018,2293.399902,132600,2321.318115
5/29/13,2324.01709,2334.334961,2321.166016,2323.539063,125200,2324.01709
5/30/13,2317.749023,2325.720947,2310.491943,2316.25293,112000,2317.749023
5/31/13,2300.594971,2325.533936,2299.368896,2320.739014,108200,2300.594971
6/3/13,2299.251953,2313.425049,2294.113037,2300.208984,96800,2299.251953
6/4/13,2272.416992,2297.100098,2264.760986,2297.100098,101800,2272.416992
6/5/13,2270.929932,2276.86499,2260.871094,2270.711914,76400,2270.929932
6/6/13,2242.110107,2266.691895,2240.070068,2264.425049,81600,2242.110107
6/7/13,2210.897949,2250.628906,2205.065918,2242.262939,90000,2210.897949
6/13/13,2148.35498,2190.101074,2126.216064,2190.101074,94400,2148.35498
6/14/13,2162.041016,2163.845947,2142.780029,2150.060059,77800,2162.041016
6/17/13,2156.215088,2169.355957,2147.029053,2165.993896,75800,2156.215088
6/18/13,2159.291016,2161.680908,2138.346924,2158.545898,69600,2159.291016
6/19/13,2143.454102,2150.815918,2115.791992,2150.815918,75400,2143.454102
6/20/13,2084.020996,2132.812988,2082.824951,2132.812988,77800,2084.020996
6/21/13,2073.094971,2085.860107,2042.879028,2058.979004,79600,2073.094971
6/24/13,1963.234985,2068.862061,1958.401001,2068.862061,109200,1963.234985
6/25/13,1959.508057,1963.56604,1849.652954,1948.314941,138200,1959.508057
6/26/13,1951.494995,1959.157959,1922.823975,1954.473999,101200,1951.494995
6/27/13,1950.011963,1980.540039,1942.370972,1955.125977,105800,1950.011963
6/28/13,1979.206055,1987.984009,1925.651001,1935.515991,100800,1979.206055
7/1/13,1995.241943,1995.916016,1957.571045,1965.987061,78000,1995.241943
7/2/13,2006.560059,2007.619995,1978.427979,1992.890015,86400,2006.560059
7/3/13,1994.267944,1996.536987,1965.519043,1996.505981,93400,1994.267944
7/4/13,2006.098022,2022.135986,1974.103027,1982.869995,100400,2006.098022
7/5/13,2007.198975,2021.541016,2002.366943,2006.19104,91400,2007.198975
7/8/13,1958.272949,1983.213989,1953.120972,1983.213989,84200,1958.272949
7/9/13,1965.453979,1969.149048,1946.365967,1953.602051,64600,1965.453979
7/10/13,2008.125977,2009.359985,1960.276978,1962.839966,89800,2008.125977
7/11/13,2072.990967,2092.86792,2010.400024,2011.02002,160000,2072.990967
7/12/13,2039.485962,2074.856934,2036.050049,2068.043945,121200,2039.485962
7/15/13,2059.389893,2076.665039,2037.248047,2046.119019,101400,2059.389893
7/16/13,2065.719971,2066.363037,2038.535034,2054.600098,96800,2065.719971
7/17/13,2044.921997,2075.812988,2043.230957,2061.186035,103200,2044.921997
7/18/13,2023.395996,2043.371948,2016.899048,2038.400024,92200,2023.395996
7/19/13,1992.647949,2035.219971,1990.253052,2025.317017,104600,1992.647949
7/22/13,2004.761963,2005.473999,1970.639038,1977.733032,83000,2004.761963
7/23/13,2043.875977,2051.525879,2005.092041,2008.954956,109600,2043.875977
7/24/13,2033.328979,2042.772949,2010.42395,2035.69104,106600,2033.328979
7/25/13,2021.17395,2045.36499,2016.43103,2037.33606,98600,2021.17395
7/26/13,2010.849976,2021.573975,2000.796997,2013.189941,73800,2010.849976
7/29/13,1976.30603,1997.838013,1969.853027,1997.838013,78700,1976.30603
7/30/13,1990.063965,2006.232056,1965.360962,1981.452026,77200,1990.063965
7/31/13,1993.79895,2015.472046,1987.880005,2000.793945,70200,1993.79895
8/1/13,2029.067017,2029.927979,1997.057983,2000.817993,91200,2029.067017
8/2/13,2029.417969,2047.083984,2025.654053,2039.514038,93600,2029.417969
8/5/13,2050.480957,2050.910889,2025.225952,2031.723999,85500,2050.480957
8/6/13,2060.5,2066.73999,2034.957031,2043.652954,105600,2060.5
8/7/13,2046.777954,2069.561035,2043.75,2056.366943,107700,2046.777954
8/8/13,2044.89502,2058.561035,2037.250977,2044.436035,84100,2044.89502
8/9/13,2052.235107,2061.708008,2030.126953,2052.243896,95300,2052.235107
8/12/13,2101.282959,2102.346924,2055.715088,2058.416016,135100,2101.282959
8/13/13,2106.156006,2106.395996,2093.795898,2101.323975,117700,2106.156006
8/14/13,2100.136963,2122.965088,2093.042969,2109.225098,114400,2100.136963
